id,codigo,cliente_id,vendedor_id,producto_id,territorio_id,canal_id,etapa_id,estado_id,fecha_registro,valor_oportunidad,venta_cerrada,descuento_promocion
1,CRM-0001,1,1,1,1,1,2,1,2026-07-08,,,
2,CRM-0002,2,1,2,1,1,2,1,2026-07-08,,,
3,CRM-0003,3,1,3,1,1,2,1,2026-07-08,,,
4,CRM-0004,4,1,2,1,1,2,1,2026-07-08,,,
5,CRM-0005,5,1,4,,1,2,1,2026-07-08,,,
6,CRM-0006,6,1,5,,1,1,1,2026-07-08,,,
7,CRM-0007,7,1,5,,1,2,1,2026-07-08,,,
8,CRM-0008,8,1,6,,1,1,1,2026-07-08,,,
9,CRM-0009,9,1,7,1,1,3,1,2026-07-08,,,
10,CRM-0010,10,1,4,,1,2,1,2026-07-08,,,
11,CRM-0011,11,1,4,,1,1,1,2026-07-08,,,
12,CRM-0012,12,1,4,,1,1,1,2026-07-08,,,
13,CRM-0013,13,1,4,,1,2,1,2026-07-08,,,
14,CRM-0014,14,1,2,,1,2,1,2026-07-08,,,
15,CRM-0015,15,1,4,,1,2,1,2026-07-08,,,
16,CRM-0016,16,1,3,2,1,4,1,2026-07-08,,,
17,CRM-0017,17,1,8,,1,1,1,2026-07-08,,,
18,CRM-0018,18,1,2,,1,1,1,2026-07-08,,,
19,CRM-0019,19,1,3,2,1,3,1,2026-07-08,,,
20,CRM-0020,20,1,6,,1,2,1,2026-07-08,,,
21,CRM-0021,21,1,3,,1,1,1,2026-07-08,,,
22,CRM-0022,22,1,2,,1,2,1,2026-07-08,,,
23,CRM-0023,23,1,1,1,1,2,1,2026-07-08,,,
24,CRM-0024,24,1,3,2,1,2,1,2026-07-08,,,
25,CRM-0025,25,1,2,1,1,2,1,2026-07-08,,,
26,CRM-0026,26,1,2,2,1,2,1,2026-07-08,,,
27,CRM-0027,27,1,3,,1,2,1,2026-07-08,,,
28,CRM-0028,28,1,2,,2,2,1,2026-07-09,,,
29,CRM-0029,29,1,2,,2,2,1,2026-07-09,,,
30,CRM-0030,30,1,3,3,2,2,1,2026-07-09,,,
31,CRM-0031,31,1,3,2,2,4,1,2026-07-08,,,
32,CRM-0032,32,1,9,1,3,5,4,2026-07-08,200.0,182.5,10%
33,CRM-0033,33,1,2,1,3,2,1,2026-07-09,,,
34,CRM-0034,34,1,2,4,3,5,4,2026-07-04,495.0,395.0,Bono de $100 a la matricula
35,CRM-0035,35,1,8,,3,5,4,2026-07-06,105.0,105.0,
36,CRM-0036,36,1,8,,3,5,4,2026-07-06,235.0,235.0,
37,CRM-0037,37,1,8,,3,5,4,2026-07-07,235.0,235.0,
38,CRM-0038,38,1,3,,3,5,4,2026-07-08,382.0,337.3,10%
39,CRM-0039,39,1,10,,2,5,2,2026-07-08,415.0,130.0,Bono de $100 a la matricula
40,CRM-0040,40,1,,1,2,1,1,2026-07-10,,,
41,CRM-0041,41,2,10,,3,5,2,2026-07-01,415.0,130.0,Bono de $100 a la matricula
42,CRM-0042,42,2,2,,4,5,2,2026-07-04,,165.0,Bono de $100 a la matricula
43,CRM-0043,43,2,8,,3,5,4,2026-07-06,130.0,130.0,
44,CRM-0044,44,3,8,,4,5,4,2026-07-01,420.0,420.0,
45,CRM-0045,45,3,11,,3,5,4,2026-07-01,300.0,300.0,
46,CRM-0046,46,4,8,,4,5,4,2026-07-02,130.0,130.0,
47,CRM-0047,47,4,8,,3,5,4,2026-07-02,340.0,340.0,
48,CRM-0048,48,4,8,,3,5,4,2026-07-04,105.0,105.0,
49,CRM-0049,49,4,8,,3,5,4,2026-07-08,340.0,340.0,
50,CRM-0050,50,4,8,,3,5,4,2026-07-08,340.0,340.0,
51,CRM-0051,51,4,10,,5,5,2,2026-07-08,415.0,230.0,Membresia Gratis PB
52,CRM-0052,46,3,8,,3,5,4,2026-07-08,210.0,210.0,
53,CRM-0053,35,1,8,,3,5,4,2026-07-10,105.0,105.0,
54,CRM-0054,31,1,3,,2,5,2,2026-07-10,382.0,197.0,
55,CRM-0055,52,1,7,2,1,2,1,2026-07-10,,,
56,CRM-0056,53,1,3,1,1,2,1,2026-07-10,,,
57,CRM-0057,54,1,2,1,1,2,1,2026-07-10,,,
58,CRM-0058,55,1,5,1,1,2,1,2026-07-10,,,
59,CRM-0059,56,1,5,,1,2,1,2026-07-10,,,
60,CRM-0060,57,1,12,4,1,2,1,2026-07-10,,,
61,CRM-0061,58,1,4,5,2,2,1,2026-07-10,,,
62,CRM-0062,59,1,8,,1,2,1,2026-07-10,,,
63,CRM-0063,60,1,3,1,1,2,1,2026-07-10,,,
64,CRM-0064,61,1,9,1,2,2,1,2026-07-10,,,
65,CRM-0065,62,1,3,1,1,2,1,2026-07-10,,,
66,CRM-0066,63,1,1,2,1,2,1,2026-07-10,,,
67,CRM-0067,64,1,8,2,2,2,1,2026-07-10,,,
68,CRM-0068,65,1,13,1,1,2,1,2026-07-10,,,
69,CRM-0069,66,4,12,2,1,2,1,2026-07-10,,,
70,CRM-0070,67,1,2,2,2,2,1,2026-07-10,,,
71,CRM-0071,68,1,4,1,2,2,1,2026-07-10,,,
72,CRM-0072,69,1,13,1,1,2,1,2026-07-10,,,
73,CRM-0073,70,1,13,1,2,2,1,2026-07-10,,,
74,CRM-0074,71,1,2,1,2,2,1,2026-07-10,,,
75,CRM-0075,72,1,3,,1,2,1,2026-07-10,,,
76,CRM-0076,73,1,5,1,1,2,1,2026-07-10,,,
77,CRM-0077,74,1,13,1,2,2,1,2026-07-10,,,
